,Time,open,close,low,high,Vol.trades,Nr.trades,Average,
MSFT,1431,27.3,27.3,27.28,27.29,36567,48,27.2892,0
MSFT,1432,27.29,27.3,27.29,27.3,12655,41,27.2917,0
MSFT,1433,27.3,27.31,27.29,27.29,26680,47,27.2996,0
MSFT,1434,27.3,27.31,27.29,27.31,74842,110,27.3,0
MSFT,1435,27.3,27.31,27.29,27.3,119287,151,27.3005,0
MSFT,1436,27.29,27.3,27.29,27.29,13394,29,27.291,0
MSFT,1437,27.29,27.3,27.29,27.3,21067,46,27.2924,0
MSFT,1438,27.29,27.3,27.29,27.3,13295,24,27.2932,0
MSFT,1439,27.3,27.31,27.29,27.3,79560,129,27.2987,0
MSFT,1440,27.29,27.31,27.29,27.3,160173,205,27.3002,0
MSFT,1441,27.31,27.31,27.3,27.31,15608,32,27.3078,0
MSFT,1442,27.31,27.32,27.3,27.3,123881,186,27.3103,0
MSFT,1443,27.31,27.31,27.29,27.29,115820,132,27.2999,2
MSFT,1444,27.29,27.3,27.26,27.29,215008,312,27.2773,2
MSFT,1445,27.29,27.3,27.28,27.3,142640,201,27.2853,1
MSFT,1446,27.3,27.31,27.29,27.3,125385,172,27.2997,1
MSFT,1447,27.3,27.31,27.29,27.3,224818,55,27.2913,1
MSFT,1448,27.3,27.31,27.29,27.29,74265,135,27.2989,0
MSFT,1449,27.3,27.31,27.29,27.3,60835,112,27.2997,0
MSFT,1450,27.3,27.3,27.29,27.3,93684,130,27.2995,0
MSFT,1451,27.3,27.31,27.3,27.3,28893,40,27.3058,0
MSFT,1452,27.3,27.31,27.3,27.3,77233,133,27.3007,0
MSFT,1453,27.31,27.31,27.3,27.31,4522,17,27.3059,0
MSFT,1454,27.3,27.31,27.3,27.31,342098,176,27.3001,1
MSFT,1455,27.31,27.31,27.3,27.3,9629,30,27.3035,0
MSFT,1456,27.3,27.31,27.3,27.3,66080,86,27.3034,1
MSFT,1457,27.31,27.31,27.3,27.31,27971,64,27.3065,0
MSFT,1458,27.3,27.31,27.3,27.31,11226,16,27.303,0
MSFT,1459,27.31,27.31,27.3,27.31,14952,22,27.3086,0
MSFT,1500,27.31,27.31,27.3,27.3,49406,72,27.309,0
MSFT,1501,27.3,27.31,27.3,27.31,35112,68,27.3017,0
MSFT,1502,27.3,27.31,27.3,27.3,5521,21,27.3033,0
MSFT,1503,27.3,27.31,27.3,27.3,9187,26,27.3028,0
MSFT,1504,27.3,27.31,27.3,27.3,185679,174,27.3001,2
MSFT,1505,27.3,27.32,27.3,27.3,40192,73,27.3025,0
MSFT,1506,27.31,27.32,27.3,27.31,242037,316,27.3102,1
MSFT,1507,27.3,27.31,27.3,27.31,10504,29,27.3046,0
MSFT,1508,27.3,27.31,27.3,27.3,86089,114,27.3002,0
MSFT,1509,27.31,27.31,27.3,27.3,68386,115,27.3013,0
MSFT,1510,27.3,27.31,27.3,27.3,69662,105,27.3002,0
MSFT,1511,27.3,27.31,27.3,27.31,45271,72,27.3018,0
MSFT,1512,27.31,27.31,27.3,27.3,96588,103,27.303,2
MSFT,1513,27.3,27.31,27.3,27.31,32690,79,27.3036,0
MSFT,1514,27.31,27.31,27.3,27.3,18651,51,27.302,0
MSFT,1515,27.3,27.31,27.3,27.3,149922,103,27.3002,2
MSFT,1516,27.3,27.31,27.3,27.3,33915,58,27.3002,0
MSFT,1517,27.31,27.31,27.3,27.3,39001,62,27.3045,0
MSFT,1518,27.3,27.31,27.3,27.3,17134,43,27.3058,0
MSFT,1519,27.3,27.31,27.3,27.3,21709,35,27.3023,0
MSFT,1520,27.31,27.31,27.3,27.31,142603,124,27.3015,3
MSFT,1521,27.3,27.31,27.3,27.31,28288,51,27.3037,1
MSFT,1522,27.31,27.34,27.3,27.3,42053,64,27.306,0
MSFT,1523,27.3,27.31,27.3,27.31,325658,64,27.3002,1
MSFT,1524,27.3,27.31,27.3,27.3,117500,165,27.3001,0
MSFT,1525,27.3,27.31,27.3,27.3,16546,45,27.3065,0
MSFT,1526,27.3,27.31,27.3,27.31,198757,240,27.302,0
MSFT,1527,27.31,27.31,27.3,27.3,59912,93,27.3029,0
MSFT,1528,27.3,27.31,27.3,27.3,131115,76,27.3013,1
MSFT,1529,27.3,27.31,27.3,27.3,110105,140,27.3055,0
MSFT,1530,27.3,27.31,27.3,27.31,76799,108,27.3004,0
MSFT,1531,27.3,27.31,27.3,27.3,59421,96,27.3031,0
MSFT,1532,27.3,27.32,27.3,27.31,481541,541,27.3057,1
MSFT,1533,27.31,27.31,27.3,27.31,56945,88,27.3066,0
MSFT,1534,27.3,27.32,27.3,27.32,118079,231,27.3106,0
MSFT,1535,27.31,27.32,27.3,27.3,176627,165,27.31,3
MSFT,1536,27.3,27.32,27.3,27.31,620355,430,27.3053,3
MSFT,1537,27.31,27.32,27.3,27.31,147468,178,27.3105,0
MSFT,1538,27.31,27.32,27.31,27.31,110834,125,27.3106,1
MSFT,1539,27.31,27.32,27.31,27.31,188058,232,27.3141,0
MSFT,1540,27.31,27.33,27.31,27.31,134731,246,27.3156,1
MSFT,1541,27.32,27.32,27.31,27.31,95650,180,27.3117,0
MSFT,1542,27.31,27.35,27.31,27.31,82939,134,27.316,0
MSFT,1543,27.31,27.32,27.3,27.3,85031,141,27.3117,0
MSFT,1544,27.32,27.32,27.31,27.31,103522,162,27.3139,0
MSFT,1545,27.31,27.32,27.31,27.32,77292,128,27.3168,0
MSFT,1546,27.31,27.32,27.31,27.31,287653,294,27.3103,0
MSFT,1547,27.31,27.32,27.31,27.31,172972,209,27.3101,0
MSFT,1548,27.31,27.32,27.31,27.31,96883,102,27.3101,0
MSFT,1549,27.31,27.32,27.31,27.31,477682,255,27.3108,2
MSFT,1550,27.31,27.31,27.29,27.29,206566,279,27.3031,1
MSFT,1551,27.29,27.3,27.27,27.27,220193,231,27.2833,2
MSFT,1552,27.28,27.28,27.26,27.26,185205,212,27.2669,0
MSFT,1553,27.26,27.28,27.26,27.27,175147,272,27.2718,0
MSFT,1554,27.28,27.29,27.26,27.28,179078,261,27.2739,1
MSFT,1555,27.27,27.28,27.26,27.27,96774,139,27.2693,1
MSFT,1556,27.26,27.28,27.26,27.27,91020,112,27.2637,0
